"Katalog","Kodiersystem","Kode","P-Code1","P-Code2","P-Code3","Text1","Text2","Text3","Text4","Text5","Text6","DatumGueltigkeit","ADV16_Int"
"016","000","0813250","SA040470009",,"S.Bukuru","Salmonella Bukuru",,,,,,"20071127",813250
"016","000","0813251","SA041130009",,"S.Bulgaria","Salmonella Bulgaria",,,,,,"20071127",813251
"016","000","0813252","SA130500009",,"S.Bullbay","Salmonella Bullbay",,,,,,"20071127",813252
"016","000","0813253","SA031540009",,"S.Bulovka","Salmonella Bulovka",,,,,,"20071127",813253
"016","000","0813254","SA170390009",,"S.Burgas","Salmonella Burgas",,,,,,"20071127",813254
"016","000","0813255","SA260450009",,"S.Burundi","Salmonella Burundi",,,,,,"20071127",813255
"016","000","0813256","SA020200009",,"S.Bury","Salmonella Bury",,,,,,"20071127",813256
"016","000","0813257","SA030630009",,"S.Businga","Salmonella Businga",,,,,,"20071127",813257
"016","000","0813258","SA090030009",,"S.Butantan","Salmonella Butantan",,,,,,"20071127",813258
"016","000","0813259","SA090031009",,"S.Butantan O:10-,15+","Salmonella Butantan O:10-,15+",,,,,,"20071127",813259
"016","000","0813260","SA090032009",,"S.Butantan O:10-,15+,34+","Salmonella Butantan O:10-,15+,34+",,,,,,"20071127",813260
"016","000","0813261","SA281750009",,"S.Butare","Salmonella Butare",,,,,,"20071127",813261
"016","000","0813262","SA160090009",,"S.Buzu","Salmonella Buzu",,,,,,"20071127",813262
"016","000","0813263","SA170840009",,"S.Caen","Salmonella Caen",,,,,,"20071127",813263
"016","000","0813264","SA090360009",,"S.Cairina","Salmonella Cairina",,,,,,"20071127",813264
"016","000","0813265","SA281420009",,"S.Cairns","Salmonella Cairns",,,,,,"20071127",813265
"016","000","0813266","SA120300009",,"S.Calabar","Salmonella Calabar",,,,,,"20071127",813266
"016","000","0813267","SA020350009",,"S.California","Salmonella California",,,,,,"20071127",813267
"016","000","0813268","SA020351009",,"S.California H:Z67+","Salmonella California H:Z67+",,,,,,"20071127",813268
"016","000","0813269","SA230080009",,"S.Camberene","Salmonella Camberene",,,,,,"20071127",813269
"016","000","0813270","SA071160009",,"S.Camberwell","Salmonella Camberwell",,,,,,"20071127",813270
