"osm_id","ort","plz","bundesland","PLZ_Int"
423032,"Albersdorf","25767","Schleswig-Holstein",25767
2778355,"Albersdorf","07646","Thüringen",7646
2792707,"Albershausen","73095","Baden-Württemberg",73095
1252774,"Albersweiler","76857","Rheinland-Pfalz",76857
283563,"Albertshofen","97320","Bayern",97320
1246578,"Albessen","66871","Rheinland-Pfalz",66871
1248583,"Albig","55234","Rheinland-Pfalz",55234
1254398,"Albisheim (Pfrimm)","67308","Rheinland-Pfalz",67308
1471102,"Albsfelde","23909","Schleswig-Holstein",23909
2779017,"Albstadt","72458","Baden-Württemberg",72458
2779017,"Albstadt","72459","Baden-Württemberg",72459
2779017,"Albstadt","72461","Baden-Württemberg",72461
158407,"Aldenhoven","52457","Nordrhein-Westfalen",52457
958104,"Aldersbach","94501","Bayern",94501
1231975,"Aldingen","78554","Baden-Württemberg",78554
962467,"Alerheim","86733","Bayern",86733
1015138,"Alesheim","91793","Bayern",91793
568238,"Aletshausen","86480","Bayern",86480
1269727,"Alf","56859","Rheinland-Pfalz",56859
401623,"Alfdorf","73553","Baden-Württemberg",73553
401623,"Alfdorf","73655","Baden-Württemberg",73655
966167,"Alfeld","91236","Bayern",91236
1168905,"Alfeld (Leine)","31061","Niedersachsen",31061
1821138,"Alfhausen","49594","Niedersachsen",49594
1269816,"Alflen","56828","Rheinland-Pfalz",56828
1079020,"Alfstedt","27432","Niedersachsen",27432
172095,"Alfter","53347","Nordrhein-Westfalen",53347
91859,"Algermissen","31191","Niedersachsen",31191
238961,"Alheim","36211","Hessen",36211
546611,"Alken","56332","Rheinland-Pfalz",56332
396563,"Alkersleben","99310","Thüringen",99310
1428588,"Alkersum","25938","Schleswig-Holstein",25938
1245131,"Allenbach","55758","Rheinland-Pfalz",55758
443591,"Allendorf","35108","Hessen",35108
539713,"Allendorf","56370","Rheinland-Pfalz",56370
1273287,"Allendorf","07426","Thüringen",7426
418611,"Allendorf (Lumda)","35469","Hessen",35469
1244219,"Allenfeld","55595","Rheinland-Pfalz",55595
2784841,"Allensbach","78476","Baden-Württemberg",78476
158406,"Allersberg","90584","Bayern",90584
30015,"Allershausen","85391","Bayern",85391
2801344,"Alleshausen","88422","Baden-Württemberg",88422
933491,"Alling","82239","Bayern",82239
445854,"Allmannshofen","86695","Bayern",86695
2801315,"Allmannsweiler","88348","Baden-Württemberg",88348
2803631,"Allmendingen","89604","Baden-Württemberg",89604
400939,"Allmersbach im Tal","71573","Baden-Württemberg",71573
2397385,"Allstedt","06542","Sachsen-Anhalt",6542
1567454,"Almdorf","25821","Schleswig-Holstein",25821
418894,"Almersbach","57610","Rheinland-Pfalz",57610
58618,"Alpen","46519","Nordrhein-Westfalen",46519
453150,"Alpenrod","57642","Rheinland-Pfalz",57642
453150,"Alpenrod","57647","Rheinland-Pfalz",57647
2411295,"Alperstedt","99195","Thüringen",99195
935834,"Alpirsbach","72275","Baden-Württemberg",72275
532368,"Alsbach","56237","Rheinland-Pfalz",56237
452415,"Alsbach-Hähnlein","64665","Hessen",64665
157993,"Alsdorf","52477","Nordrhein-Westfalen",52477
422316,"Alsdorf","57518","Rheinland-Pfalz",57518
1163504,"Alsdorf","54668","Rheinland-Pfalz",54668
1253873,"Alsenz","67821","Rheinland-Pfalz",67821
418327,"Alsfeld","36304","Hessen",36304
1248686,"Alsheim","67577","Rheinland-Pfalz",67577
1332300,"Alsleben","06425","Sachsen-Anhalt",6425
2792885,"Altbach","73776","Baden-Württemberg",73776
1157542,"Alt Bennebek","24848","Schleswig-Holstein",24848
394333,"Alt Bukow","18233","Mecklenburg-Vorpommern",18233
1322902,"Altdöbern","03229","Brandenburg",3229
190875,"Altdorf","84032","Bayern",84032
722061,"Altdorf","71155","Baden-Württemberg",71155
902680,"Altdorf","72655","Baden-Württemberg",72655
1252492,"Altdorf","67482","Rheinland-Pfalz",67482
966164,"Altdorf bei Nürnberg","90518","Bayern",90518
548573,"Alt Duvenstedt","24782","Schleswig-Holstein",24782
548573,"Alt Duvenstedt","24791","Schleswig-Holstein",24791
548573,"Alt Duvenstedt","24811","Schleswig-Holstein",24811
1438081,"Altefähr","18573","Mecklenburg-Vorpommern",18573
964628,"Alteglofsheim","93087","Bayern",93087
168547,"Altena","58762","Nordrhein-Westfalen",58762
1021826,"Altenahr","53505","Rheinland-Pfalz",53505
1244034,"Altenbamberg","55585","Rheinland-Pfalz",55585
148072,"Altenbeken","33184","Nordrhein-Westfalen",33184
455484,"Altenberg","01773","Sachsen",1773
455484,"Altenberg","01778","Sachsen",1778
2458400,"Altenberga","07768","Thüringen",7768
155779,"Altenberge","48341","Nordrhein-Westfalen",48341
1273353,"Altenbeuthen","07338","Thüringen",7338
394512,"Altenbuch","97901","Bayern",97901
1263721,"Altenburg","04600","Thüringen",4600
537133,"Altendiez","65624","Rheinland-Pfalz",65624
962080,"Altendorf","92540","Bayern",92540
1077529,"Altendorf","96146","Bayern",96146
1263905,"Altenfeld","98701","Thüringen",98701
1246622,"Altenglan","66885","Rheinland-Pfalz",66885
2876347,"Altengottern","99991","Thüringen",99991
1427896,"Altenhagen","17091","Mecklenburg-Vorpommern",17091
1286652,"Altenhausen","39343","Sachsen-Anhalt",39343
554562,"Altenhof","24340","Schleswig-Holstein",24340
1424152,"Altenhof","17209","Mecklenburg-Vorpommern",17209
554747,"Altenholz","24161","Schleswig-Holstein",24161
1252363,"Altenkirchen","66903","Rheinland-Pfalz",66903
1437950,"Altenkirchen","18556","Mecklenburg-Vorpommern",18556
418895,"Altenkirchen (Westerwald)","57610","Rheinland-Pfalz",57610
382409,"Altenkrempe","23730","Schleswig-Holstein",23730
1026858,"Altenkunstadt","96264","Bayern",96264
941639,"Altenmarkt an der Alz","83352","Bayern",83352
1460228,"Altenmedingen","29575","Niedersachsen",29575
447188,"Altenmoor","25335","Schleswig-Holstein",25335
452561,"Altenmünster","86450","Bayern",86450
374185,"Altenpleen","18445","Mecklenburg-Vorpommern",18445
2796467,"Altenriet","72657","Baden-Württemberg",72657
450108,"Altenstadt","63674","Hessen",63674
936742,"Altenstadt","86972","Bayern",86972
941073,"Altenstadt","89281","Bayern",89281
1059433,"Altenstadt a.d.Waldnaab","92665","Bayern",92665
1174479,"Altensteig","72213","Baden-Württemberg",72213
964624,"Altenthann","93177","Bayern",93177
1427888,"Altentreptow","17087","Mecklenburg-Vorpommern",17087
1204726,"Alterkülz","56288","Rheinland-Pfalz",56288
2829503,"Altersbach","98587","Thüringen",98587
180669,"Altertheim","97237","Bayern",97237
191496,"Altfraunhofen","84169","Bayern",84169
933521,"Althegnenberg","82278","Bayern",82278
2802280,"Altheim","88499","Baden-Württemberg",88499
2803632,"Altheim","89605","Baden-Württemberg",89605
2790973,"Altheim (Alb)","89174","Baden-Württemberg",89174
933498,"Althengstett","75382","Baden-Württemberg",75382
1250687,"Althornbach","66484","Rheinland-Pfalz",66484
400938,"Althütte","71566","Baden-Württemberg",71566
1318343,"Althüttendorf","16247","Brandenburg",16247
2020631,"Altkalen","17179","Mecklenburg-Vorpommern",17179
2778468,"Altkirchen","04626","Thüringen",4626
1451540,"Alt Krenzlin","19288","Mecklenburg-Vorpommern",19288
1332946,"Altlandsberg","15345","Brandenburg",15345
1269719,"Altlay","56858","Rheinland-Pfalz",56858
1249748,"Altleiningen","67316","Rheinland-Pfalz",67316
1249748,"Altleiningen","67317","Rheinland-Pfalz",67317
453415,"Altlußheim","68804","Baden-Württemberg",68804
943548,"Altmannstein","93336","Bayern",93336
1284744,"Altmärkische Höhe","39606","Sachsen-Anhalt",39606
1284744,"Altmärkische Höhe","39615","Sachsen-Anhalt",39615
1284749,"Altmärkische Wische","39615","Sachsen-Anhalt",39615
1444893,"Alt Meteln","19069","Mecklenburg-Vorpommern",19069
414485,"Altmittweida","09648","Sachsen",9648
1467346,"Alt Mölln","23881","Schleswig-Holstein",23881
167317,"Altomünster","85250","Bayern",85250
942029,"Altötting","84503","Bayern",84503
1259135,"Altrich","54518","Rheinland-Pfalz",54518
418402,"Altrip","67122","Rheinland-Pfalz",67122
1171858,"Altscheid","54636","Rheinland-Pfalz",54636
1424389,"Alt Schwerin","17214","Mecklenburg-Vorpommern",17214
2808120,"Altshausen","88361","Baden-Württemberg",88361
1269731,"Altstrimmig","56858","Rheinland-Pfalz",56858
1996945,"Alt Sührkow","17166","Mecklenburg-Vorpommern",17166
1427539,"Alt Tellin","17129","Mecklenburg-Vorpommern",17129
1332921,"Alt Tucheband","15328","Brandenburg",15328
957781,"Altusried","87452","Bayern",87452
1408065,"Altwarp","17375","Mecklenburg-Vorpommern",17375
1241628,"Altweidelbach","55469","Rheinland-Pfalz",55469
1410793,"Altwigshagen","17379","Mecklenburg-Vorpommern",17379
1451533,"Alt Zachun","19230","Mecklenburg-Vorpommern",19230
1388877,"Alt Zauche-Wußwerk","15913","Brandenburg",15913
442764,"Alveslohe","25486","Schleswig-Holstein",25486
534148,"Alzenau","63755","Bayern",63755
902672,"Alzey","55232","Rheinland-Pfalz",55232
62772,"Amberg","92224","Bayern",92224
958187,"Amberg","86854","Bayern",86854
1846190,"Amelinghausen","21385","Niedersachsen",21385
2156163,"Amerang","83123","Bayern",83123
962454,"Amerdingen","86735","Bayern",86735
1286625,"Am Großen Bruch","39393","Sachsen-Anhalt",39393
1171847,"Ammeldingen an der Our","54675","Rheinland-Pfalz",54675
1171880,"Ammeldingen bei Neuerburg","54673","Rheinland-Pfalz",54673
176780,"Am Mellensee","15838","Brandenburg",15838
2778907,"Ammerbuch","72119","Baden-Württemberg",72119
1016395,"Ammerndorf","90614","Bayern",90614
312038,"Ammersbek","22949","Schleswig-Holstein",22949
1028553,"Ammerthal","92260","Bayern",92260
2799906,"Am Ohmberg","37345","Thüringen",37345
225501,"Amöneburg","35287","Hessen",35287
393471,"Amorbach","63916","Bayern",63916
941001,"Ampfing","84539","Bayern",84539
394330,"Am Salzhaff","18233","Mecklenburg-Vorpommern",18233
2770608,"Amstetten","73340","Baden-Württemberg",73340
1851834,"Amt Neuhaus","19273","Niedersachsen",19273
422409,"Amtsberg","09439","Sachsen",9439
2666038,"Amt Wachsenburg","99334","Thüringen",99334
2808296,"Amtzell","88279","Baden-Württemberg",88279
932296,"Andechs","82346","Bayern",82346
1079012,"Anderlingen","27446","Niedersachsen",27446
541666,"Andernach","56626","Rheinland-Pfalz",56626
2402486,"An der Poststraße","06647","Sachsen-Anhalt",6647
2006684,"Andervenne","49832","Niedersachsen",49832
2411239,"Andisleben","99189","Thüringen",99189
